Uid,User uid,Channel uid,Customer uid,Contact uid,Status,Lead uid,Close Reason,Probability,Budget Amount
131,63,1,B2B:106,168,in_progress,,,0.5,7300
132,64,1,B2B:107,169,in_progress,,,0.8,1800
133,65,1,B2B:108,170,lost,,cancelled,,7100
134,66,1,B2B:109,171,lost,,cancelled,0.2,9100
135,67,1,B2B:110,172,in_progress,,,0.5,800
136,68,1,B2B:111,173,in_progress,,,0.5,6800
137,69,1,B2B:112,174,in_progress,,,0.5,9800
138,70,1,B2B:113,175,lost,,cancelled,,3000
139,71,1,B2B:114,176,in_progress,,,0.5,10000
140,72,1,B2B:115,177,in_progress,,,0.8,3300
141,73,1,B2B:116,178,won,,won,,9100
142,74,1,B2B:117,179,won,,won,,3300
143,75,1,B2B:118,180,lost,,cancelled,0.2,2300
144,76,1,B2B:119,181,in_progress,,,0.5,2800
145,77,1,B2B:120,182,won,,won,,8600
146,78,1,B2B:121,183,in_progress,,,0.5,100
147,79,1,B2B:122,184,in_progress,,,0.5,8200
148,80,1,B2B:123,185,lost,,cancelled,0.8,7100
149,81,1,B2B:124,186,lost,,cancelled,,1400
150,82,1,B2B:125,187,won,,won,,4200
151,83,1,B2B:126,188,lost,,cancelled,0.8,3100
152,84,1,B2B:127,189,lost,,cancelled,,2600
