Uid,Contact uid,Subject,Body
38,38,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
39,39,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
40,40,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
41,41,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
42,42,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
43,43,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
44,44,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
45,45,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
46,46,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
47,47,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
48,48,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
49,49,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
50,50,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
51,51,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
52,52,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
53,53,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
54,54,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
55,55,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
56,56,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
57,57,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
58,58,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
59,59,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
60,60,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
61,61,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
62,62,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
63,63,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
64,64,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
65,65,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
66,66,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
67,67,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
68,68,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
69,69,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
