Uid,Cart uid,Sku,Name,Qty,Price,DiscountAmount,TaxPercent,ProductType
37,37,sku-Chair,Chair,3,488.37,0,0.0838,simple
38,38,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,4007.96,0,0.0838,simple
39,39,sku-Tablet,Tablet,5,1639.95,0,0.0838,simple
40,40,sku-E-book,E-book,4,971.96,0,0.0838,simple
41,41,sku-Mouse,Mouse,5,139.95,0,0.0838,simple
42,42,sku-Phone,Phone,5,3464.95,0,0.0838,simple
43,43,sku-Notebook,Notebook,1,348.99,0,0.0838,simple
44,44,sku-Gaming Computer,Gaming Computer,3,2679,0,0.0838,simple
45,45,sku-Netbook,Netbook,2,607.98,0,0.0838,simple
46,46,sku-Computer,Computer,4,1413.96,0,0.0838,simple
47,47,sku-Universal Camera Case,Universal Camera Case,1,37,0,0.0838,simple
48,48,sku-SLR Camera Tripod,SLR Camera Tripod,4,463.96,0,0.0838,simple
49,49,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,510,0,0.0838,simple
50,50,sku-Couch,Couch,1,892.99,0,0.0838,simple
51,51,sku-Chair,Chair,3,491.37,0,0.0838,simple
52,52,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3008.97,0,0.0838,simple
53,53,sku-Tablet,Tablet,4,1315.96,0,0.0838,simple
54,54,sku-E-book,E-book,5,1219.95,0,0.0838,simple
55,55,sku-Mouse,Mouse,5,144.95,0,0.0838,simple
56,56,sku-Phone,Phone,2,1387.98,0,0.0838,simple
57,57,sku-Notebook,Notebook,2,699.98,0,0.0838,simple
58,58,sku-Gaming Computer,Gaming Computer,1,894,0,0.0838,simple
59,59,sku-Netbook,Netbook,3,914.97,0,0.0838,simple
60,60,sku-Computer,Computer,2,708.98,0,0.0838,simple
61,61,sku-Universal Camera Case,Universal Camera Case,1,38,0,0.0838,simple
62,62,sku-SLR Camera Tripod,SLR Camera Tripod,2,233.98,0,0.0838,simple
63,63,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,515,0,0.0838,simple
64,64,sku-Couch,Couch,3,2681.97,0,0.0838,simple
65,65,sku-Chair,Chair,2,329.58,0,0.0838,simple
66,66,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,2007.98,0,0.0838,simple
67,67,sku-Tablet,Tablet,1,329.99,0,0.0838,simple
68,68,sku-E-book,E-book,5,1224.95,0,0.0838,simple
69,69,sku-Mouse,Mouse,2,59.98,0,0.0838,simple
70,70,sku-Phone,Phone,4,2779.96,0,0.0838,simple
71,71,sku-Notebook,Notebook,2,701.98,0,0.0838,simple
72,72,sku-Gaming Computer,Gaming Computer,5,4475,0,0.0838,simple
73,73,sku-Netbook,Netbook,4,1223.96,0,0.0838,simple
74,74,sku-Computer,Computer,4,1421.96,0,0.0838,simple
75,75,sku-Universal Camera Case,Universal Camera Case,1,39,0,0.0838,simple
76,76,sku-SLR Camera Tripod,SLR Camera Tripod,1,117.99,0,0.0838,simple
77,77,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,208,0,0.0838,simple
78,78,sku-Couch,Couch,5,4474.95,0,0.0838,simple
79,79,sku-Chair,Chair,1,165.79,0,0.0838,simple
80,80,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3014.97,0,0.0838,simple
81,81,sku-Tablet,Tablet,2,661.98,0,0.0838,simple
82,82,sku-E-book,E-book,2,491.98,0,0.0838,simple
83,83,sku-Mouse,Mouse,5,154.95,0,0.0838,simple
84,84,sku-Phone,Phone,3,2087.97,0,0.0838,simple
85,85,sku-Notebook,Notebook,3,1055.97,0,0.0838,simple
86,86,sku-Gaming Computer,Gaming Computer,5,4480,0,0.0838,simple
87,87,sku-Netbook,Netbook,2,613.98,0,0.0838,simple
88,88,sku-Computer,Computer,1,356.49,0,0.0838,simple
89,89,sku-Universal Camera Case,Universal Camera Case,5,200,0,0.0838,simple
90,90,sku-SLR Camera Tripod,SLR Camera Tripod,5,594.95,0,0.0838,simple
91,91,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,525,0,0.0838,simple
92,92,sku-Couch,Couch,2,1791.98,0,0.0838,simple
93,93,sku-Chair,Chair,4,667.16,0,0.0838,simple
94,94,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,5029.95,0,0.0838,simple
95,95,sku-Tablet,Tablet,3,995.97,0,0.0838,simple
96,96,sku-E-book,E-book,1,246.99,0,0.0838,simple
97,97,sku-Mouse,Mouse,2,63.98,0,0.0838,simple
98,98,sku-Phone,Phone,4,2787.96,0,0.0838,simple
99,99,sku-Notebook,Notebook,4,1411.96,0,0.0838,simple
100,100,sku-Gaming Computer,Gaming Computer,2,1794,0,0.0838,simple
101,101,sku-Netbook,Netbook,1,307.99,0,0.0838,simple
102,102,sku-Computer,Computer,3,1072.47,0,0.0838,simple
103,103,sku-Universal Camera Case,Universal Camera Case,2,82,0,0.0838,simple
104,104,sku-SLR Camera Tripod,SLR Camera Tripod,2,239.98,0,0.0838,simple
105,105,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,212,0,0.0838,simple
106,106,sku-Couch,Couch,3,2690.97,0,0.0838,simple
107,107,sku-Chair,Chair,4,671.16,0,0.0838,simple
108,108,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1006.99,0,0.0838,simple
109,109,sku-Tablet,Tablet,2,665.98,0,0.0838,simple
110,110,sku-E-book,E-book,4,991.96,0,0.0838,simple
111,111,sku-Mouse,Mouse,2,65.98,0,0.0838,simple
112,112,sku-Phone,Phone,4,2791.96,0,0.0838,simple
113,113,sku-Notebook,Notebook,5,1769.95,0,0.0838,simple
114,114,sku-Gaming Computer,Gaming Computer,3,2694,0,0.0838,simple
115,115,sku-Netbook,Netbook,5,1544.95,0,0.0838,simple
116,116,sku-Computer,Computer,4,1433.96,0,0.0838,simple
117,117,sku-Universal Camera Case,Universal Camera Case,2,84,0,0.0838,simple
118,118,sku-SLR Camera Tripod,SLR Camera Tripod,2,241.98,0,0.0838,simple
119,119,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,214,0,0.0838,simple
120,120,sku-Couch,Couch,3,2693.97,0,0.0838,simple
121,121,sku-Chair,Chair,5,843.95,0,0.0838,simple
122,122,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,5039.95,0,0.0838,simple
123,123,sku-Tablet,Tablet,3,1001.97,0,0.0838,simple
124,124,sku-E-book,E-book,2,497.98,0,0.0838,simple
125,125,sku-Mouse,Mouse,3,101.97,0,0.0838,simple
126,126,sku-Phone,Phone,3,2096.97,0,0.0838,simple
127,127,sku-Notebook,Notebook,4,1419.96,0,0.0838,simple
128,128,sku-Gaming Computer,Gaming Computer,1,899,0,0.0838,simple
129,129,sku-Netbook,Netbook,5,1549.95,0,0.0838,simple
130,130,sku-Computer,Computer,1,359.49,0,0.0838,simple
131,131,sku-Universal Camera Case,Universal Camera Case,3,129,0,0.0838,simple
132,132,sku-SLR Camera Tripod,SLR Camera Tripod,3,365.97,0,0.0838,simple
133,133,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,1,108,0,0.0838,simple
134,134,sku-Couch,Couch,3,2696.97,0,0.0838,simple
135,135,sku-Chair,Chair,4,679.16,0,0.0838,simple
136,136,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1008.99,0,0.0838,simple
137,137,sku-Tablet,Tablet,5,1674.95,0,0.0838,simple
138,138,sku-E-book,E-book,4,999.96,0,0.0838,simple
139,139,sku-Mouse,Mouse,5,174.95,0,0.0838,simple
140,140,sku-Phone,Phone,5,3499.95,0,0.0838,simple
141,141,sku-Notebook,Notebook,5,1779.95,0,0.0838,simple
142,142,sku-Gaming Computer,Gaming Computer,5,4500,0,0.0838,simple
143,143,sku-Netbook,Netbook,2,621.98,0,0.0838,simple
144,144,sku-Computer,Computer,1,360.49,0,0.0838,simple
145,145,sku-Universal Camera Case,Universal Camera Case,4,176,0,0.0838,simple
146,146,sku-SLR Camera Tripod,SLR Camera Tripod,2,245.98,0,0.0838,simple
147,147,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,545,0,0.0838,simple
148,148,sku-Couch,Couch,2,1799.98,0,0.0838,simple
149,149,sku-Chair,Chair,2,341.58,0,0.0838,simple
150,150,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,2019.98,0,0.0838,simple
151,151,sku-Tablet,Tablet,5,1679.95,0,0.0838,simple
152,152,sku-E-book,E-book,3,752.97,0,0.0838,simple
153,153,sku-Mouse,Mouse,5,179.95,0,0.0838,simple
154,154,sku-Phone,Phone,4,2803.96,0,0.0838,simple
155,155,sku-Notebook,Notebook,1,356.99,0,0.0838,simple
156,156,sku-Gaming Computer,Gaming Computer,5,4505,0,0.0838,simple
157,157,sku-Netbook,Netbook,5,1559.95,0,0.0838,simple
158,158,sku-Computer,Computer,3,1084.47,0,0.0838,simple
159,159,sku-Universal Camera Case,Universal Camera Case,2,90,0,0.0838,simple
160,160,sku-SLR Camera Tripod,SLR Camera Tripod,3,371.97,0,0.0838,simple
161,161,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,550,0,0.0838,simple
162,162,sku-Couch,Couch,3,2702.97,0,0.0838,simple
163,163,sku-Chair,Chair,2,343.58,0,0.0838,simple
164,164,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3032.97,0,0.0838,simple
165,165,sku-Tablet,Tablet,1,336.99,0,0.0838,simple
166,166,sku-E-book,E-book,2,503.98,0,0.0838,simple
167,167,sku-Mouse,Mouse,1,36.99,0,0.0838,simple
168,168,sku-Phone,Phone,1,701.99,0,0.0838,simple
169,169,sku-Notebook,Notebook,3,1073.97,0,0.0838,simple
170,170,sku-Gaming Computer,Gaming Computer,4,3608,0,0.0838,simple
171,171,sku-Netbook,Netbook,3,938.97,0,0.0838,simple
172,172,sku-Computer,Computer,1,362.49,0,0.0838,simple
173,173,sku-Universal Camera Case,Universal Camera Case,3,138,0,0.0838,simple
174,174,sku-SLR Camera Tripod,SLR Camera Tripod,4,499.96,0,0.0838,simple
175,175,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,222,0,0.0838,simple
176,176,sku-Couch,Couch,5,4509.95,0,0.0838,simple
177,177,sku-Chair,Chair,4,691.16,0,0.0838,simple
178,178,sku-Notebook,Notebook,6,1730.95,0,0.0838,simple
179,179,sku-Gaming Computer,Gaming Computer,3,1781,0,0.0838,simple
180,180,sku-Netbook,Netbook,3,602.98,0,0.0838,simple
181,181,sku-Computer,Computer,3,701.98,0,0.0838,simple
182,182,sku-Universal Camera Case,Universal Camera Case,6,171,0,0.0838,simple
183,183,sku-SLR Camera Tripod,SLR Camera Tripod,4,339.97,0,0.0838,simple
184,184,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,4,298,0,0.0838,simple
185,185,sku-Couch,Couch,5,3560.96,0,0.0838,simple
186,186,sku-Chair,Chair,2,161.79,0,0.0838,simple
187,187,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,4000.96,0,0.0838,simple
188,188,sku-Tablet,Tablet,5,1304.96,0,0.0838,simple
189,189,sku-E-book,E-book,3,482.98,0,0.0838,simple
190,190,sku-Mouse,Mouse,6,130.95,0,0.0838,simple
191,191,sku-Phone,Phone,3,1382.98,0,0.0838,simple
192,192,sku-Notebook,Notebook,4,1041.97,0,0.0838,simple
193,193,sku-Gaming Computer,Gaming Computer,3,1783,0,0.0838,simple
194,194,sku-Netbook,Netbook,4,906.97,0,0.0838,simple
195,195,sku-Computer,Computer,3,703.98,0,0.0838,simple
196,196,sku-Universal Camera Case,Universal Camera Case,3,71,0,0.0838,simple
197,197,sku-SLR Camera Tripod,SLR Camera Tripod,5,456.96,0,0.0838,simple
198,198,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,201,0,0.0838,simple
199,199,sku-Couch,Couch,2,891.99,0,0.0838,simple
200,200,sku-Chair,Chair,6,809.95,0,0.0838,simple
201,201,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,1001.99,0,0.0838,simple
202,202,sku-Tablet,Tablet,3,654.98,0,0.0838,simple
203,203,sku-E-book,E-book,5,968.96,0,0.0838,simple
204,204,sku-Mouse,Mouse,5,108.96,0,0.0838,simple
205,205,sku-Phone,Phone,5,2768.96,0,0.0838,simple
206,206,sku-Notebook,Notebook,2,348.99,0,0.0838,simple
207,207,sku-Gaming Computer,Gaming Computer,5,3569,0,0.0838,simple
208,208,sku-Netbook,Netbook,6,1515.95,0,0.0838,simple
209,209,sku-Computer,Computer,4,1058.47,0,0.0838,simple
210,210,sku-Universal Camera Case,Universal Camera Case,3,73,0,0.0838,simple
211,211,sku-SLR Camera Tripod,SLR Camera Tripod,2,115.99,0,0.0838,simple
212,212,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,102,0,0.0838,simple
213,213,sku-Couch,Couch,2,892.99,0,0.0838,simple
214,214,sku-Chair,Chair,4,489.37,0,0.0838,simple
215,215,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,4008.96,0,0.0838,simple
216,216,sku-Tablet,Tablet,6,1640.95,0,0.0838,simple
217,217,sku-E-book,E-book,5,972.96,0,0.0838,simple
218,218,sku-Mouse,Mouse,6,140.95,0,0.0838,simple
219,219,sku-Phone,Phone,6,3465.95,0,0.0838,simple
220,220,sku-Notebook,Notebook,2,349.99,0,0.0838,simple
221,221,sku-Gaming Computer,Gaming Computer,4,2680,0,0.0838,simple
222,222,sku-Netbook,Netbook,3,608.98,0,0.0838,simple
223,223,sku-Computer,Computer,5,1414.96,0,0.0838,simple
224,224,sku-Universal Camera Case,Universal Camera Case,2,38,0,0.0838,simple
225,225,sku-SLR Camera Tripod,SLR Camera Tripod,5,464.96,0,0.0838,simple
226,226,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,6,511,0,0.0838,simple
227,227,sku-Couch,Couch,2,893.99,0,0.0838,simple
228,228,sku-Chair,Chair,4,492.37,0,0.0838,simple
229,229,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,3009.97,0,0.0838,simple
230,230,sku-Tablet,Tablet,5,1316.96,0,0.0838,simple
231,231,sku-E-book,E-book,6,1220.95,0,0.0838,simple
232,232,sku-Mouse,Mouse,6,145.95,0,0.0838,simple
233,233,sku-Phone,Phone,3,1388.98,0,0.0838,simple
234,234,sku-Notebook,Notebook,3,700.98,0,0.0838,simple
235,235,sku-Gaming Computer,Gaming Computer,2,895,0,0.0838,simple
236,236,sku-Netbook,Netbook,4,915.97,0,0.0838,simple
237,237,sku-Computer,Computer,3,709.98,0,0.0838,simple
238,238,sku-Universal Camera Case,Universal Camera Case,2,39,0,0.0838,simple
239,239,sku-SLR Camera Tripod,SLR Camera Tripod,3,234.98,0,0.0838,simple
240,240,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,6,516,0,0.0838,simple
241,241,sku-Couch,Couch,4,2682.97,0,0.0838,simple
242,242,sku-Chair,Chair,3,330.58,0,0.0838,simple
243,243,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,2008.98,0,0.0838,simple
244,244,sku-Tablet,Tablet,2,330.99,0,0.0838,simple
245,245,sku-E-book,E-book,6,1225.95,0,0.0838,simple
246,246,sku-Mouse,Mouse,3,60.98,0,0.0838,simple
247,247,sku-Phone,Phone,5,2780.96,0,0.0838,simple
248,248,sku-Notebook,Notebook,3,702.98,0,0.0838,simple
249,249,sku-Gaming Computer,Gaming Computer,6,4476,0,0.0838,simple
250,250,sku-Netbook,Netbook,5,1224.96,0,0.0838,simple
251,251,sku-Computer,Computer,5,1422.96,0,0.0838,simple
252,252,sku-Universal Camera Case,Universal Camera Case,2,40,0,0.0838,simple
253,253,sku-SLR Camera Tripod,SLR Camera Tripod,2,118.99,0,0.0838,simple
254,254,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,209,0,0.0838,simple
255,255,sku-Couch,Couch,6,4475.95,0,0.0838,simple
256,256,sku-Chair,Chair,2,166.79,0,0.0838,simple
257,257,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,3015.97,0,0.0838,simple
258,258,sku-Tablet,Tablet,3,662.98,0,0.0838,simple
259,259,sku-E-book,E-book,3,492.98,0,0.0838,simple
260,260,sku-Mouse,Mouse,6,155.95,0,0.0838,simple
261,261,sku-Phone,Phone,4,2088.97,0,0.0838,simple
262,262,sku-Notebook,Notebook,4,1056.97,0,0.0838,simple
263,263,sku-Gaming Computer,Gaming Computer,6,4481,0,0.0838,simple
264,264,sku-Netbook,Netbook,3,614.98,0,0.0838,simple
265,265,sku-Computer,Computer,2,357.49,0,0.0838,simple
266,266,sku-Universal Camera Case,Universal Camera Case,6,201,0,0.0838,simple
267,267,sku-SLR Camera Tripod,SLR Camera Tripod,6,595.95,0,0.0838,simple
268,268,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,6,526,0,0.0838,simple
269,269,sku-Couch,Couch,3,1792.98,0,0.0838,simple
270,270,sku-Chair,Chair,5,668.16,0,0.0838,simple
271,271,sku-Magento Red Furniture Set,Magento Red Furniture Set,6,5030.95,0,0.0838,simple
272,272,sku-Tablet,Tablet,4,996.97,0,0.0838,simple
273,273,sku-E-book,E-book,2,247.99,0,0.0838,simple
274,274,sku-Mouse,Mouse,3,64.98,0,0.0838,simple
275,275,sku-Phone,Phone,5,2788.96,0,0.0838,simple
276,276,sku-Notebook,Notebook,5,1412.96,0,0.0838,simple
277,1,sku-Netbook,Netbook,2,601.98,0,0.0838,simple
278,2,sku-Computer,Computer,2,700.98,0,0.0838,simple
279,3,sku-Universal Camera Case,Universal Camera Case,5,170,0,0.0838,simple
280,4,sku-SLR Camera Tripod,SLR Camera Tripod,3,338.97,0,0.0838,simple
281,5,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,297,0,0.0838,simple
282,6,sku-Couch,Couch,4,3559.96,0,0.0838,simple
283,7,sku-Chair,Chair,1,160.79,0,0.0838,simple
284,8,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,3999.96,0,0.0838,simple
285,9,sku-Tablet,Tablet,4,1303.96,0,0.0838,simple
286,10,sku-E-book,E-book,2,481.98,0,0.0838,simple
287,11,sku-Mouse,Mouse,5,129.95,0,0.0838,simple
288,12,sku-Phone,Phone,2,1381.98,0,0.0838,simple
289,13,sku-Notebook,Notebook,3,1040.97,0,0.0838,simple
290,14,sku-Gaming Computer,Gaming Computer,2,1782,0,0.0838,simple
291,15,sku-Netbook,Netbook,3,905.97,0,0.0838,simple
292,16,sku-Computer,Computer,2,702.98,0,0.0838,simple
293,17,sku-Universal Camera Case,Universal Camera Case,2,70,0,0.0838,simple
294,18,sku-SLR Camera Tripod,SLR Camera Tripod,4,455.96,0,0.0838,simple
295,19,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,200,0,0.0838,simple
296,20,sku-Couch,Couch,1,890.99,0,0.0838,simple
297,21,sku-Chair,Chair,5,808.95,0,0.0838,simple
298,22,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1000.99,0,0.0838,simple
299,23,sku-Tablet,Tablet,2,653.98,0,0.0838,simple
300,24,sku-E-book,E-book,4,967.96,0,0.0838,simple
301,25,sku-Mouse,Mouse,4,107.96,0,0.0838,simple
302,26,sku-Phone,Phone,4,2767.96,0,0.0838,simple
303,27,sku-Notebook,Notebook,1,347.99,0,0.0838,simple
304,28,sku-Gaming Computer,Gaming Computer,4,3568,0,0.0838,simple
305,29,sku-Netbook,Netbook,5,1514.95,0,0.0838,simple
306,30,sku-Computer,Computer,3,1057.47,0,0.0838,simple
307,31,sku-Universal Camera Case,Universal Camera Case,2,72,0,0.0838,simple
308,32,sku-SLR Camera Tripod,SLR Camera Tripod,1,114.99,0,0.0838,simple
309,33,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,1,101,0,0.0838,simple
310,34,sku-Couch,Couch,1,891.99,0,0.0838,simple
311,35,sku-Chair,Chair,3,488.37,0,0.0838,simple
312,36,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,4007.96,0,0.0838,simple
313,37,sku-Tablet,Tablet,5,1639.95,0,0.0838,simple
314,38,sku-E-book,E-book,4,971.96,0,0.0838,simple
315,39,sku-Mouse,Mouse,5,139.95,0,0.0838,simple
316,40,sku-Phone,Phone,5,3464.95,0,0.0838,simple
317,41,sku-Notebook,Notebook,1,348.99,0,0.0838,simple
318,42,sku-Gaming Computer,Gaming Computer,3,2679,0,0.0838,simple
319,43,sku-Netbook,Netbook,2,607.98,0,0.0838,simple
320,44,sku-Computer,Computer,4,1413.96,0,0.0838,simple
321,45,sku-Universal Camera Case,Universal Camera Case,1,37,0,0.0838,simple
322,46,sku-SLR Camera Tripod,SLR Camera Tripod,4,463.96,0,0.0838,simple
323,47,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,510,0,0.0838,simple
324,48,sku-Couch,Couch,1,892.99,0,0.0838,simple
325,49,sku-Chair,Chair,3,491.37,0,0.0838,simple
326,50,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3008.97,0,0.0838,simple
327,51,sku-Tablet,Tablet,4,1315.96,0,0.0838,simple
328,52,sku-E-book,E-book,5,1219.95,0,0.0838,simple
329,53,sku-Mouse,Mouse,5,144.95,0,0.0838,simple
330,54,sku-Phone,Phone,2,1387.98,0,0.0838,simple
331,55,sku-Notebook,Notebook,2,699.98,0,0.0838,simple
332,56,sku-Gaming Computer,Gaming Computer,1,894,0,0.0838,simple
333,57,sku-Netbook,Netbook,3,914.97,0,0.0838,simple
334,58,sku-Computer,Computer,2,708.98,0,0.0838,simple
335,59,sku-Universal Camera Case,Universal Camera Case,1,38,0,0.0838,simple
336,60,sku-SLR Camera Tripod,SLR Camera Tripod,2,233.98,0,0.0838,simple
337,61,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,515,0,0.0838,simple
338,62,sku-Couch,Couch,3,2681.97,0,0.0838,simple
339,63,sku-Chair,Chair,2,329.58,0,0.0838,simple
340,64,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,2007.98,0,0.0838,simple
341,65,sku-Tablet,Tablet,1,329.99,0,0.0838,simple
342,66,sku-E-book,E-book,5,1224.95,0,0.0838,simple
343,67,sku-Mouse,Mouse,2,59.98,0,0.0838,simple
344,68,sku-Phone,Phone,4,2779.96,0,0.0838,simple
345,69,sku-Notebook,Notebook,2,701.98,0,0.0838,simple
346,70,sku-Gaming Computer,Gaming Computer,5,4475,0,0.0838,simple
347,71,sku-Netbook,Netbook,4,1223.96,0,0.0838,simple
348,72,sku-Computer,Computer,4,1421.96,0,0.0838,simple
349,73,sku-Universal Camera Case,Universal Camera Case,1,39,0,0.0838,simple
350,74,sku-SLR Camera Tripod,SLR Camera Tripod,1,117.99,0,0.0838,simple
351,75,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,208,0,0.0838,simple
352,76,sku-Couch,Couch,5,4474.95,0,0.0838,simple
353,77,sku-Chair,Chair,1,165.79,0,0.0838,simple
354,78,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3014.97,0,0.0838,simple
355,79,sku-Tablet,Tablet,2,661.98,0,0.0838,simple
356,80,sku-E-book,E-book,2,491.98,0,0.0838,simple
357,81,sku-Mouse,Mouse,5,154.95,0,0.0838,simple
358,82,sku-Phone,Phone,3,2087.97,0,0.0838,simple
359,83,sku-Notebook,Notebook,3,1055.97,0,0.0838,simple
360,84,sku-Gaming Computer,Gaming Computer,5,4480,0,0.0838,simple
361,85,sku-Netbook,Netbook,2,613.98,0,0.0838,simple
362,86,sku-Computer,Computer,1,356.49,0,0.0838,simple
363,87,sku-Universal Camera Case,Universal Camera Case,5,200,0,0.0838,simple
364,88,sku-SLR Camera Tripod,SLR Camera Tripod,5,594.95,0,0.0838,simple
365,89,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,525,0,0.0838,simple
366,90,sku-Couch,Couch,2,1791.98,0,0.0838,simple
367,91,sku-Chair,Chair,4,667.16,0,0.0838,simple
368,92,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,5029.95,0,0.0838,simple
369,93,sku-Tablet,Tablet,3,995.97,0,0.0838,simple
370,94,sku-E-book,E-book,1,246.99,0,0.0838,simple
371,95,sku-Mouse,Mouse,2,63.98,0,0.0838,simple
372,96,sku-Phone,Phone,4,2787.96,0,0.0838,simple
373,97,sku-Notebook,Notebook,4,1411.96,0,0.0838,simple
