Uid,Email campaign uid,Entity Uid,Contacted times,Open,Click,Bounce,Abuse,Unsubscribe
55,2,5,3,10,1,0,0,0
56,2,6,2,3,1,0,0,1
57,2,7,1,2,1,0,0,1
58,2,8,2,1,1,0,0,0
59,2,9,3,2,1,0,0,0
60,2,10,2,3,1,0,0,0
61,2,11,1,2,1,0,0,0
62,2,12,2,22,2,0,0,0
63,2,13,3,21,7,0,0,0
64,2,14,2,15,8,0,0,0
65,2,15,1,16,9,0,0,0
66,2,16,2,17,4,0,0,0
67,2,17,3,18,5,0,0,0
68,2,18,2,10,1,0,0,0
69,2,19,1,3,1,0,0,1
70,2,20,2,2,1,0,0,0
71,2,21,3,1,1,0,0,1
72,2,22,2,2,1,0,0,0
73,2,23,1,3,1,0,0,1
74,2,24,2,2,1,0,0,0
75,2,25,3,22,8,0,0,1
76,2,26,2,21,7,0,0,0
77,2,27,1,15,6,0,0,0
78,2,28,2,16,9,0,0,0
79,2,29,3,17,4,0,0,0
80,2,30,2,18,6,0,0,0
81,2,31,1,10,1,0,0,0
82,2,32,2,3,1,0,0,0
83,2,33,3,2,1,0,0,0
84,2,34,2,1,1,0,0,0
85,2,35,1,2,1,0,0,0
86,2,36,2,3,1,0,0,0
87,2,37,3,2,1,0,0,0
88,2,38,2,22,8,0,0,0
89,2,39,1,21,9,0,0,0
90,2,40,2,3,1,0,0,0
91,2,41,3,2,1,0,0,0
92,2,42,2,1,1,0,0,1
93,2,43,1,2,1,0,0,0
94,2,44,2,3,1,0,0,0
95,2,45,3,2,1,0,0,0
96,2,46,2,22,9,0,0,1
97,2,47,1,21,6,0,0,0
98,2,48,2,16,5,0,0,0
99,2,49,3,17,7,0,0,0
100,2,50,2,18,5,0,0,1
101,3,1,1,3,1,0,0,0
102,3,2,2,4,1,0,0,1
103,3,3,3,2,3,0,0,0
104,3,4,2,5,1,0,0,0
105,3,5,1,2,3,0,0,1
106,3,6,2,1,1,0,0,0
107,3,7,3,5,3,0,0,1
108,3,8,2,3,1,0,0,0
109,3,9,1,2,2,0,0,1
110,3,10,2,6,3,0,0,0
111,3,11,3,2,1,0,0,1
112,3,12,2,3,3,0,0,0
113,3,13,1,2,1,0,0,0
114,3,14,2,1,1,0,0,0
115,3,15,3,2,3,0,0,1
116,3,16,2,5,1,0,0,0
117,3,17,1,2,3,0,0,0
118,3,18,2,4,1,0,0,0
119,3,19,3,5,3,0,0,1
120,3,20,2,3,3,0,0,0
121,3,21,1,2,3,0,0,0
122,3,22,2,4,1,0,0,0
123,3,23,3,2,3,0,0,0
124,3,24,2,5,3,0,0,0
125,3,25,1,6,3,0,0,0
126,3,26,2,1,1,0,0,0
127,3,27,3,2,3,0,0,0
128,3,28,2,3,1,0,0,0
129,3,29,1,2,1,0,0,0
130,3,30,2,1,1,0,0,0
131,3,31,3,2,1,0,0,0
132,3,32,2,3,1,0,0,0
133,3,33,1,2,1,0,0,0
134,3,34,2,1,1,0,0,1
135,3,35,3,2,1,0,0,0
136,3,36,2,3,1,0,0,0
137,3,37,1,2,1,0,0,0
138,3,38,2,1,1,0,0,1
139,3,39,3,2,1,0,0,0
140,3,40,2,3,1,0,0,0
141,3,41,1,2,1,0,0,0
142,3,42,2,1,1,0,0,0
143,3,43,3,2,1,0,0,0
144,3,44,2,3,1,0,0,0
145,3,45,1,2,1,0,0,0
146,3,46,2,1,1,0,0,0
147,3,47,3,2,1,0,0,0
148,3,48,2,3,1,0,0,0
149,3,49,1,2,1,0,0,0
150,3,50,2,1,1,0,0,0
151,4,51,3,15,6,0,0,0
152,4,52,2,16,3,0,0,1
153,4,53,1,17,2,0,0,0
154,4,54,2,18,3,0,0,0
155,4,55,3,20,5,0,0,0
156,4,56,2,21,1,0,0,0
157,4,57,1,22,2,0,0,0
158,4,58,2,23,3,0,0,1
159,4,59,3,2,1,0,0,0
160,4,60,2,3,1,0,0,0
161,4,61,1,9,2,0,0,0
162,4,62,2,31,1,0,0,0
163,4,63,3,5,1,0,0,0
164,4,64,2,8,1,0,0,0
165,4,65,1,2,4,0,0,0
166,4,66,2,7,1,0,0,0
167,4,67,3,2,1,0,0,0
168,4,68,2,9,5,0,0,0
169,4,69,1,15,5,0,0,0
170,4,1,2,16,1,0,0,0
171,4,2,3,17,4,0,0,0
172,4,3,2,18,1,0,0,0
173,4,4,1,20,3,0,0,0
174,4,5,2,21,2,0,0,0
175,4,6,3,22,7,0,0,0
176,4,7,2,23,5,0,0,0
177,4,8,1,9,1,0,0,1
178,4,9,2,3,2,0,0,0
179,4,10,3,2,3,0,0,0
180,4,11,2,22,6,0,0,0
181,4,12,1,5,4,0,0,1
182,4,13,2,8,3,0,0,0
183,4,14,3,9,1,0,0,0
184,4,15,2,7,5,0,0,1
185,4,16,1,2,1,0,0,0
186,4,17,2,9,5,0,0,0
187,4,18,3,15,7,0,0,0
188,4,19,2,16,6,0,0,0
189,4,20,1,17,4,0,0,0
190,4,21,2,18,1,0,0,1
191,4,22,3,20,8,0,0,0
192,4,23,2,21,3,0,0,0
193,4,24,3,22,3,0,0,0
194,4,25,2,23,11,0,0,1
195,4,26,1,9,1,0,0,0
196,4,27,2,3,1,0,0,0
197,4,28,3,9,1,0,0,1
198,4,29,2,22,6,0,0,0
199,4,30,1,5,3,0,0,1
200,4,31,2,8,3,0,0,0
