Uid,Cart uid,Status,Payment_Method,Payment_Method_Details
96,96,Processing,Checkmo,Card[MC]
97,97,Canceled,Ccsave,Card[AE]
98,98,Canceled,Checkmo,N/A
99,99,Completed,Ccsave,Card[MC]
100,100,Processing,Checkmo,Card[AE]
101,101,Processing,Ccsave,N/A
102,102,Canceled,Checkmo,Card[MC]
103,103,Canceled,Ccsave,Card[AE]
104,104,Completed,Checkmo,N/A
105,105,Processing,Ccsave,Card[MC]
106,106,Processing,Checkmo,Card[AE]
107,107,Canceled,Ccsave,N/A
108,108,Canceled,Checkmo,Card[MC]
109,109,Completed,Ccsave,Card[AE]
110,110,Processing,Checkmo,N/A
111,111,Processing,Ccsave,Card[MC]
112,112,Canceled,Checkmo,Card[AE]
113,113,Canceled,Ccsave,N/A
114,114,Completed,Checkmo,Card[MC]
115,115,Processing,Ccsave,Card[AE]
116,116,Processing,Checkmo,N/A
117,117,Canceled,Ccsave,Card[MC]
118,118,Canceled,Checkmo,Card[AE]
119,119,Completed,Ccsave,N/A
120,120,Processing,Checkmo,Card[MC]
121,121,Processing,Ccsave,Card[MC]
122,122,Canceled,Checkmo,Card[AE]
123,123,Canceled,Ccsave,N/A
124,124,Completed,Checkmo,Card[MC]
125,125,Processing,Ccsave,Card[AE]
126,126,Processing,Checkmo,N/A
127,127,Canceled,Ccsave,Card[MC]
128,128,Canceled,Checkmo,Card[AE]
129,129,Completed,Ccsave,N/A
130,130,Processing,Checkmo,Card[MC]
131,131,Processing,Ccsave,Card[AE]
132,132,Canceled,Checkmo,N/A
133,133,Canceled,Ccsave,Card[MC]
134,134,Completed,Checkmo,Card[AE]
135,135,Processing,Ccsave,N/A
136,136,Processing,Checkmo,Card[MC]
137,137,Canceled,Ccsave,Card[AE]
138,138,Canceled,Checkmo,N/A
139,139,Completed,Ccsave,Card[MC]
140,140,Processing,Checkmo,Card[AE]
141,141,Processing,Ccsave,N/A
142,142,Canceled,Checkmo,Card[MC]
143,143,Canceled,Ccsave,Card[AE]
144,144,Completed,Checkmo,N/A
145,145,Processing,Ccsave,Card[MC]
146,146,Processing,Checkmo,Card[AE]
147,147,Canceled,Ccsave,N/A
148,148,Canceled,Checkmo,Card[MC]
149,149,Completed,Ccsave,Card[AE]
150,150,Processing,Checkmo,N/A
151,151,Processing,Ccsave,Card[MC]
152,152,Canceled,Checkmo,Card[AE]
153,153,Canceled,Ccsave,N/A
154,154,Completed,Checkmo,Card[MC]
155,155,Processing,Ccsave,Card[AE]
156,156,Processing,Checkmo,N/A
157,157,Canceled,Ccsave,Card[MC]
158,158,Canceled,Checkmo,Card[AE]
159,159,Completed,Ccsave,N/A
160,160,Processing,Checkmo,Card[MC]
161,161,Processing,Ccsave,Card[MC]
162,162,Canceled,Checkmo,Card[AE]
163,163,Canceled,Ccsave,N/A
164,164,Completed,Checkmo,Card[MC]
165,165,Processing,Ccsave,Card[AE]
166,166,Processing,Checkmo,N/A
167,167,Canceled,Ccsave,Card[MC]
168,168,Canceled,Checkmo,Card[AE]
169,169,Completed,Ccsave,N/A
170,170,Processing,Checkmo,Card[MC]
171,171,Processing,Ccsave,Card[AE]
172,172,Canceled,Checkmo,N/A
173,173,Canceled,Ccsave,Card[MC]
174,174,Canceled,Checkmo,Card[AE]
175,175,Processing,Ccsave,N/A
176,176,Processing,Checkmo,Card[MC]
177,177,Canceled,Ccsave,Card[AE]
178,178,Canceled,Checkmo,N/A
179,179,Completed,Ccsave,Card[MC]
180,180,Processing,Checkmo,Card[AE]
181,181,Processing,Ccsave,N/A
182,182,Canceled,Checkmo,Card[MC]
183,183,Canceled,Ccsave,Card[AE]
184,184,Completed,Checkmo,N/A
185,185,Processing,Ccsave,Card[MC]
186,186,Processing,Checkmo,Card[AE]
187,187,Canceled,Ccsave,N/A
188,188,Canceled,Checkmo,Card[MC]
189,189,Completed,Ccsave,Card[AE]
190,190,Processing,Checkmo,N/A
191,191,Processing,Ccsave,Card[MC]
192,192,Canceled,Checkmo,Card[AE]
193,193,Canceled,Ccsave,N/A
194,194,Canceled,Checkmo,Card[MC]
195,195,Processing,Ccsave,Card[AE]
196,196,Processing,Checkmo,N/A
197,197,Canceled,Ccsave,Card[MC]
198,198,Canceled,Checkmo,Card[AE]
199,199,Completed,Ccsave,N/A
200,200,Processing,Checkmo,Card[MC]
201,201,Processing,Ccsave,Card[MC]
202,202,Canceled,Checkmo,Card[AE]
203,203,Canceled,Ccsave,N/A
204,204,Completed,Checkmo,Card[MC]
205,205,Processing,Ccsave,Card[AE]
206,206,Processing,Checkmo,N/A
207,207,Canceled,Ccsave,Card[MC]
208,208,Canceled,Checkmo,Card[AE]
209,209,Completed,Ccsave,N/A
210,210,Processing,Checkmo,Card[MC]
211,211,Processing,Ccsave,Card[AE]
212,212,Canceled,Checkmo,N/A
213,213,Canceled,Ccsave,Card[MC]
214,214,Canceled,Checkmo,Card[AE]
