Uid,Email campaign uid,Entity Uid,Contacted times,Open,Click,Bounce,Abuse,Unsubscribe
55,2,5,3,10,1,0,0,0
56,2,6,2,3,1,0,0,1
57,2,7,1,2,1,0,0,1
58,2,8,2,1,1,0,0,0
59,2,9,3,2,1,0,0,0
60,2,10,2,3,1,0,0,0
61,2,11,1,2,1,0,0,0
62,2,12,2,22,2,0,0,0
63,2,13,3,21,7,0,0,0
64,2,14,2,15,8,0,0,0
65,2,15,1,16,9,0,0,0
66,2,16,2,17,4,0,0,0
67,2,17,3,18,5,0,0,0
68,2,18,2,10,1,0,0,0
69,2,19,1,3,1,0,0,1
70,2,20,2,2,1,0,0,0
71,2,21,3,1,1,0,0,1
72,2,22,2,2,1,0,0,0
73,2,23,1,3,1,0,0,1
74,2,24,2,2,1,0,0,0
75,2,25,3,22,8,0,0,1
76,2,26,2,21,7,0,0,0
77,2,27,1,15,6,0,0,0
78,2,28,2,16,9,0,0,0
79,2,29,3,17,4,0,0,0
80,2,30,2,18,6,0,0,0
81,2,31,1,10,1,0,0,0
82,2,32,2,3,1,0,0,0
83,2,33,3,2,1,0,0,0
84,2,34,2,1,1,0,0,0
85,2,35,1,2,1,0,0,0
86,2,36,2,3,1,0,0,0
87,2,37,3,2,1,0,0,0
88,2,38,2,22,8,0,0,0
89,2,39,1,21,9,0,0,0
90,2,40,2,3,1,0,0,0
91,2,41,3,2,1,0,0,0
92,2,42,2,1,1,0,0,1
93,2,43,1,2,1,0,0,0
94,2,44,2,3,1,0,0,0
95,2,45,3,2,1,0,0,0
96,2,46,2,22,9,0,0,1
97,2,47,1,21,6,0,0,0
98,2,48,2,16,5,0,0,0
99,2,49,3,17,7,0,0,0
100,2,50,2,18,5,0,0,1
101,3,1,1,3,1,0,0,0
102,3,2,2,4,1,0,0,1
103,3,3,3,2,3,0,0,0
104,3,4,2,5,1,0,0,0
105,3,5,1,2,3,0,0,1
106,3,6,2,1,1,0,0,0
107,3,7,3,5,3,0,0,1
108,3,8,2,3,1,0,0,0
109,3,9,1,2,2,0,0,1
110,3,10,2,6,3,0,0,0
111,3,11,3,2,1,0,0,1
112,3,12,2,3,3,0,0,0
113,3,13,1,2,1,0,0,0
114,3,14,2,1,1,0,0,0
115,3,15,3,2,3,0,0,1
116,3,16,2,5,1,0,0,0
117,3,17,1,2,3,0,0,0
118,3,18,2,4,1,0,0,0
119,3,19,3,5,3,0,0,1
120,3,20,2,3,3,0,0,0
121,3,21,1,2,3,0,0,0
122,3,22,2,4,1,0,0,0
123,3,23,3,2,3,0,0,0
124,3,24,2,5,3,0,0,0
125,3,25,1,6,3,0,0,0
126,3,26,2,1,1,0,0,0
127,3,27,3,2,3,0,0,0
128,3,28,2,3,1,0,0,0
129,3,29,1,2,1,0,0,0
130,3,30,2,1,1,0,0,0
131,3,31,3,2,1,0,0,0
132,3,32,2,3,1,0,0,0
133,3,33,1,2,1,0,0,0
134,3,34,2,1,1,0,0,1
135,3,35,3,2,1,0,0,0
136,3,36,2,3,1,0,0,0
137,3,37,1,2,1,0,0,0
138,3,38,2,1,1,0,0,1
139,3,39,3,2,1,0,0,0
140,3,40,2,3,1,0,0,0
141,3,41,1,2,1,0,0,0
142,3,42,2,1,1,0,0,0
143,3,43,3,2,1,0,0,0
144,3,44,2,3,1,0,0,0
145,3,45,1,2,1,0,0,0
146,3,46,2,1,1,0,0,0
147,3,47,3,2,1,0,0,0
148,3,48,2,3,1,0,0,0
149,3,49,1,2,1,0,0,0
150,3,50,2,1,1,0,0,0
151,4,1,3,15,6,0,0,0
152,4,2,2,16,3,0,0,1
153,4,3,1,17,2,0,0,0
154,4,4,2,18,3,0,0,0
155,4,5,3,20,5,0,0,0
156,4,6,2,21,1,0,0,0
157,4,7,1,22,2,0,0,0
158,4,8,2,23,3,0,0,1
159,4,9,3,2,1,0,0,0
160,4,10,2,3,1,0,0,0
161,4,11,1,9,2,0,0,0
162,4,12,2,31,1,0,0,0
163,4,13,3,5,1,0,0,0
164,4,14,2,8,1,0,0,0
165,4,15,1,2,4,0,0,0
166,4,16,2,7,1,0,0,0
167,4,17,3,2,1,0,0,0
168,4,18,2,9,5,0,0,0
169,4,19,1,15,5,0,0,0
170,4,20,2,16,1,0,0,0
171,4,21,3,17,4,0,0,0
172,4,22,2,18,1,0,0,0
173,4,23,1,20,3,0,0,0
174,4,24,2,21,2,0,0,0
175,4,25,3,22,7,0,0,0
176,4,26,2,23,5,0,0,0
177,4,27,1,9,1,0,0,1
178,4,28,2,3,2,0,0,0
179,4,29,3,2,3,0,0,0
180,4,30,2,22,6,0,0,0
181,4,31,1,5,4,0,0,1
182,4,32,2,8,3,0,0,0
183,4,33,3,9,1,0,0,0
184,4,34,2,7,5,0,0,1
185,4,35,1,2,1,0,0,0
186,4,36,2,9,5,0,0,0
187,4,37,3,15,7,0,0,0
188,4,38,2,16,6,0,0,0
189,4,39,1,17,4,0,0,0
190,4,40,2,18,1,0,0,1
191,4,41,3,20,8,0,0,0
192,4,42,2,21,3,0,0,0
193,4,43,3,22,3,0,0,0
194,4,44,2,23,11,0,0,1
195,4,45,1,9,1,0,0,0
196,4,46,2,3,1,0,0,0
197,4,47,3,9,1,0,0,1
198,4,48,2,22,6,0,0,0
199,4,49,1,5,3,0,0,1
200,4,50,2,8,3,0,0,0
201,5,B2B:1,1,6,2,0,0,0
202,5,B2B:2,2,5,1,0,0,0
203,5,B2B:3,3,4,1,0,0,0
204,5,B2B:4,2,6,0,0,0,0
205,5,B2B:5,1,7,1,0,0,0
206,5,B2B:6,2,8,3,0,0,0
207,5,B2B:7,3,5,1,0,0,1
208,5,B2B:8,2,3,2,0,0,0
209,5,B2B:9,1,1,1,0,0,0
210,5,B2B:10,2,1,1,0,0,0
211,5,B2B:11,3,2,0,0,0,0
212,5,B2B:12,2,3,1,0,0,0
213,5,B2B:13,1,6,3,0,0,0
214,5,B2B:14,2,5,1,0,0,0
215,5,B2B:15,3,4,1,0,0,0
216,5,B2B:16,2,6,3,0,0,0
217,5,B2B:17,1,7,3,0,0,1
218,5,B2B:18,2,8,3,0,0,0
219,5,B2B:19,3,5,2,0,0,0
220,5,B2B:20,2,3,1,0,0,0
221,5,B2B:21,1,1,1,0,0,0
222,5,B2B:22,2,1,0,0,0,0
223,5,B2B:23,3,2,1,0,0,0
224,5,B2B:24,2,3,1,0,0,0
225,5,B2B:25,1,6,3,0,0,0
226,5,B2B:26,2,5,0,0,0,0
227,5,B2B:27,3,4,1,0,0,0
228,5,B2B:28,2,6,3,0,0,0
229,5,B2B:29,1,7,2,0,0,0
230,5,B2B:30,2,8,5,0,0,0
231,5,B2B:31,3,5,1,0,0,0
232,5,B2B:32,2,3,2,0,0,0
233,5,B2B:33,1,1,1,0,0,0
234,5,B2B:34,2,1,3,0,0,0
235,5,B2B:35,3,2,1,0,0,1
236,5,B2B:36,2,3,1,0,0,0
237,5,B2B:37,1,6,2,0,0,0
238,5,B2B:38,2,5,1,0,0,0
239,5,B2B:39,3,4,2,0,0,1
240,5,B2B:40,2,6,2,0,0,0
241,5,B2B:41,1,7,1,0,0,0
242,5,B2B:42,2,8,1,0,0,0
243,5,B2B:43,3,5,1,0,0,0
244,5,B2B:44,2,3,1,0,0,0
245,5,B2B:45,1,1,1,0,0,0
246,5,B2B:46,2,1,1,0,0,0
247,5,B2B:47,3,2,1,0,0,0
248,5,B2B:48,2,3,1,0,0,0
249,5,B2B:49,1,6,1,0,0,0
250,5,B2B:50,2,5,1,0,0,0
251,6,70,3,4,0,0,0,0
252,6,71,2,6,0,0,0,0
253,6,72,1,7,0,0,0,0
254,6,73,2,8,0,0,0,0
255,6,74,3,5,0,0,0,0
256,6,75,2,3,0,0,0,0
257,6,76,1,1,0,0,0,0
258,6,77,2,1,0,0,0,0
259,6,78,3,2,0,0,0,0
260,6,79,2,3,0,0,0,0
261,6,80,1,2,0,0,0,0
262,6,81,2,1,1,0,0,0
263,6,82,3,2,1,0,0,0
264,6,83,2,2,1,0,0,0
265,6,84,1,2,1,0,0,0
266,6,85,2,2,1,0,0,0
267,6,86,3,3,1,0,0,0
268,6,87,2,1,1,0,0,0
269,6,88,1,3,1,0,0,0
270,6,89,2,2,1,0,0,0
271,6,90,3,1,1,0,0,0
272,6,91,2,2,1,0,0,0
273,6,92,1,3,1,0,0,0
274,6,93,2,2,1,0,0,0
275,6,94,3,1,1,0,0,1
276,6,95,2,1,1,0,0,0
277,6,96,1,1,1,0,0,0
278,6,97,2,1,1,0,0,0
279,6,98,3,1,1,0,0,0
280,6,99,2,1,0,0,0,0
281,6,100,1,1,1,0,0,0
282,6,101,2,3,1,0,0,0
283,6,102,3,1,1,0,0,0
284,6,103,2,2,1,0,0,0
285,6,104,1,3,1,0,0,0
286,6,105,2,2,1,0,0,0
287,6,106,1,1,1,0,0,0
288,6,107,2,2,1,0,0,0
289,6,108,1,2,1,0,0,0
290,6,109,2,2,1,0,0,0
291,6,110,3,2,1,0,0,0
292,6,111,2,3,1,0,0,1
293,6,112,1,1,1,0,0,0
294,6,113,1,3,1,0,0,0
295,6,114,1,2,1,0,0,0
296,6,115,1,1,1,0,0,1
297,6,116,1,2,1,0,0,0
298,6,117,2,3,1,0,0,0
299,6,118,3,2,1,0,0,0
300,6,119,2,1,1,0,0,1
301,7,120,1,1,0,0,0,0
302,7,121,2,1,0,0,0,0
303,7,122,3,1,0,0,0,0
304,7,123,2,1,1,0,0,0
305,7,124,1,1,0,0,0,0
306,7,125,2,1,0,0,0,0
307,7,126,3,3,0,0,0,0
308,7,127,2,1,1,0,0,0
309,7,128,1,2,0,0,0,1
310,7,129,2,3,0,0,0,0
311,7,130,3,2,1,0,0,0
312,7,131,2,1,0,0,0,0
313,7,132,1,2,0,0,0,0
314,7,133,2,2,0,0,0,0
315,7,134,3,2,1,0,0,0
316,7,135,2,2,0,0,0,0
317,7,136,1,3,0,0,0,0
318,7,137,2,1,0,0,0,0
319,7,138,3,3,1,0,0,0
320,7,139,2,2,0,0,0,0
321,7,140,1,1,0,0,0,0
322,7,141,2,2,1,0,0,0
323,7,142,3,3,0,0,0,0
324,7,143,2,2,0,0,0,0
325,7,144,1,1,0,0,0,0
326,7,145,2,1,0,0,0,0
327,7,146,3,1,0,0,0,0
328,7,147,2,1,0,0,0,0
329,7,148,1,1,0,0,0,0
330,7,149,2,1,0,0,0,0
331,7,150,3,1,0,0,0,0
332,7,151,2,3,1,0,0,0
333,7,152,1,2,1,0,0,0
334,7,153,2,1,1,0,0,0
335,7,154,3,2,1,0,0,0
336,7,155,2,1,1,0,0,0
337,7,156,1,2,1,0,0,0
338,7,157,2,1,1,0,0,1
339,7,158,3,2,1,0,0,0
340,7,159,2,3,1,0,0,0
341,7,160,1,2,1,0,0,0
342,7,161,2,1,1,0,0,0
343,7,162,3,2,1,0,0,0
344,7,163,2,1,1,0,0,0
345,7,164,1,2,1,0,0,0
346,7,165,2,1,1,0,0,0
347,7,166,3,2,1,0,0,0
348,7,167,2,3,1,0,0,0
349,7,168,1,2,1,0,0,0
350,7,169,2,1,1,0,0,0
