Uid,Dashboard uid,Widget,Position x,Position y,Options
11,2,recent_calls,0,4,
12,2,my_contacts_activity,0,5,
13,2,quick_launchpad,1,0,
14,2,my_sales_flow_b2b_chart,1,1,
15,2,campaigns_leads,1,2,
16,2,campaigns_by_close_revenue,1,3,
17,2,opportunities_by_state,1,4,
18,2,campaigns_opportunity,1,5,
19,3,my_calendar,0,0,
20,3,my_sales_flow_b2c_chart,0,1,
21,3,recent_emails,0,2,
22,3,recent_calls,0,3,
23,3,my_contacts_activity,0,4,
24,3,my_accounts_activity,0,5,
25,3,quick_launchpad,1,0,
26,3,opportunities_by_lead_source_chart,1,1,
27,3,my_sales_flow_b2b_chart,1,2,
28,3,campaigns_leads,1,3,
29,3,campaigns_by_close_revenue,1,4,
30,3,opportunities_by_state,1,5,
31,3,campaigns_opportunity,1,6,
