Uid,Organization uid,Name,User uid,ExtendDescription
22,1,Aprunbase,12,"Aprunbase is a leader in enterprise content management, technology optimization and cloud services."
23,1,Fintancore,13,"Fintancore  is a leading developer, manufacturer and supplier of premium molecular diagnostic products and services that are used to diagnose human diseases, screen donated human blood and to aid in biomedical research."
24,1,Sunlux,12,The company is one of the largest and best-known audio technology developers and product manufacturers
25,1,Lacane,13,"Lacane is an employee-owned, global leader in building Critical Human Infrastructure in Energy, Water, Telecommunications and Government Services. "
26,1,Zotdax,15,Zotdax is a recognized worldwide leader in massively multiplayer online games. 
27,1,Konkware,16,"Konkware is a financial holding company with more than $35 billion in financing and leasing assets. It provides financing, leasing and advisory services to its clients and their customers across more than 30 industries."
28,1,Caneunatam,17,
29,1,Driplex,18,"Driplex is a leading global medical technology company devoted to understanding, developing and commercializing innovative, high-technology transformational healing solutions for customers and patients in more than 25 countries around the world. "
30,1,Ganzquote,19,
31,1,Trioice,20,Trioice is a leading provider of innovative technologies and solutions for mission-critical national security programs for the intelligence community.
32,1,Sunjoycare,25,
33,1,Goldla,26,"Goldla is a leading professional placement firm that specializes in recruiting for positions in finance and accounting, engineering and manufacturing, sales and marketing, legal and human resources."
34,1,Hotlam,27,
35,1,Rankcanis,28,Rankcanis is a different kind of printing company. We are a printer and media channel integrator. We help marketers and publishers capitalize on print’s ability to complement and connect with a wide variety of other media channels to enhance their brand and grow revenues.
36,1,Ontoholdings,29,
37,1,Gogogreen,30,Gogogreen is the world’s first full-service semiconductor foundry with a truly global footprint. 
38,1,Redphase,31,Redphase is a leading global beverage can maker. We are business partners to some of the world’s most famous and successful consumer brands. Our vision is to be the best beverage can maker in the world. 
39,1,Yeartechno,32,"Yeartechno is a global, diversified media and information services company focused on creating and distributing authoritative and engaging content to consumers throughout the world."
40,1,Danzoomin,33,
41,1,Dondox,main,"Dondox is one of the largest creators, producers and distributors of television brands in the world. It is responsible for many of the world’s highest rated prime time entertainment, drama, serial drama, factual entertainment and kids & family programming, with capabilities that extend from content creation to licensing, digital and branded entertainment, gaming and home entertainment."
42,1,Siliconium,main,"Siliconium is a global software company that simplifies the development, deployment and management of business applications on-premise or on any Cloud, on any platform and on any device with minimal IT complexity and low total cost of ownership."
43,1,Spanace,36,
44,1,Goodtech,37,"Goodtech is a leading educational content, technology, and services company for the higher education and K-12, professional and library markets worldwide. The company provides superior content, personalized services and course-driven digital solutions that accelerate student engagement and transform the learning experience."
45,1,Ranfix,38,Ranfix is the world’s business commerce network. We help companies extend their business commerce processes into the Cloud
46,1,Howjaycan,39,Howjaycan is the business standards company that helps clients worldwide adopt standards of best practice and turn them into habits of excellence.
47,1,Keyruncone,40,
48,1,Stanhouse,48,Stanhouse is a global corporation serving the health care industry with products and services that help improve the cost and safety of health care for generations to come. 
49,1,Ranity,49,"Ranity is an international, multi-practice law firm"
50,1,Doublehow,50,Doublehow is the world’s largest software testing and quality management company. 
