Uid,User uid,Opportunity uid,Channel uid,Step Name,Customer Need,Proposed Solution,Close Revenue
93,20,93,1,new_opportunity,10250,10200,0
94,21,94,1,new_opportunity,8750,8700,0
95,25,95,1,lost_opportunity,20000,19900,0
96,26,96,1,new_opportunity,17750,17700,0
97,44,97,1,new_opportunity,11500,11400,0
98,50,98,1,new_opportunity,17750,17700,0
99,1,99,1,lost_opportunity,10000,9900,0
100,5,100,1,new_opportunity,2750,2700,0
101,12,101,1,new_opportunity,10250,10200,0
102,13,102,1,lost_opportunity,16750,16700,0
103,14,103,1,developed_opportunity,7500,7400,0
104,26,104,1,lost_opportunity,1750,1700,0
105,29,105,1,new_opportunity,23250,23200,0
106,3,106,1,new_opportunity,23250,23200,0
107,3,107,1,lost_opportunity,24500,24400,0
108,8,108,1,new_opportunity,4000,3900,0
109,9,109,1,new_opportunity,10750,10700,0
110,11,110,1,new_opportunity,14500,14400,0
111,25,111,1,new_opportunity,21500,21400,0
112,26,112,1,developed_opportunity,18000,17900,0
113,28,113,1,new_opportunity,12000,11900,0
114,29,114,1,new_opportunity,8000,7900,0
115,31,115,1,won_opportunity,500,500,500
116,31,116,1,won_opportunity,17750,17750,17750
117,31,117,1,new_opportunity,18750,18700,0
118,32,118,1,new_opportunity,16000,15900,0
119,33,119,1,won_opportunity,11500,11500,11500
120,34,120,1,new_opportunity,6250,6200,0
121,39,121,1,developed_opportunity,20000,19900,0
122,44,122,1,new_opportunity,21500,21400,0
123,46,123,1,won_opportunity,1250,1250,1250
124,46,124,1,new_opportunity,2250,2200,0
125,49,125,1,new_opportunity,13250,13200,0
126,11,126,1,new_opportunity,10750,10700,0
127,11,127,1,new_opportunity,8000,7900,0
128,20,128,1,developed_opportunity,13750,13700,0
129,21,129,1,won_opportunity,12500,12500,12500
130,25,130,1,new_opportunity,8500,8400,0
131,26,131,1,new_opportunity,3250,3200,0
132,44,132,1,won_opportunity,9750,9750,9750
133,50,133,1,new_opportunity,22750,22700,0
134,1,134,1,new_opportunity,23750,23700,0
135,5,135,1,developed_opportunity,10750,10700,0
136,12,136,1,new_opportunity,6750,6700,0
137,13,137,1,won_opportunity,20250,20250,20250
138,14,138,1,new_opportunity,19500,19400,0
139,26,139,1,new_opportunity,8500,8400,0
