Uid,Cart uid,Status,paymentMethod,paymentMethodDetails
69,69,Processing,Ccsave,Card[AE]
70,70,Pending,Checkmo,N/A
71,71,Completed,Ccsave,Card[MC]
72,72,Canceled,Checkmo,Card[AE]
73,73,Processing,Ccsave,N/A
74,74,Pending,Checkmo,Card[MC]
75,75,Completed,Ccsave,Card[AE]
76,76,Canceled,Checkmo,N/A
77,77,Processing,Ccsave,Card[MC]
78,78,Pending,Checkmo,Card[AE]
79,79,Completed,Ccsave,N/A
80,80,Canceled,Checkmo,Card[MC]
81,81,Processing,Ccsave,Card[MC]
82,82,Pending,Checkmo,Card[AE]
83,83,Completed,Ccsave,N/A
84,84,Canceled,Checkmo,Card[MC]
85,85,Processing,Ccsave,Card[AE]
86,86,Pending,Checkmo,N/A
87,87,Completed,Ccsave,Card[MC]
88,88,Canceled,Checkmo,Card[AE]
89,89,Processing,Ccsave,N/A
90,90,Pending,Checkmo,Card[MC]
91,91,Completed,Ccsave,Card[AE]
92,92,Canceled,Checkmo,N/A
93,93,Processing,Ccsave,Card[MC]
94,94,Pending,Checkmo,Card[AE]
95,95,Completed,Ccsave,N/A
96,96,Canceled,Checkmo,Card[MC]
97,97,Processing,Ccsave,Card[AE]
98,98,Pending,Checkmo,N/A
99,99,Completed,Ccsave,Card[MC]
100,100,Canceled,Checkmo,Card[AE]
101,101,Processing,Ccsave,N/A
102,102,Pending,Checkmo,Card[MC]
103,103,Completed,Ccsave,Card[AE]
104,104,Canceled,Checkmo,N/A
105,105,Processing,Ccsave,Card[MC]
106,106,Pending,Checkmo,Card[AE]
107,107,Completed,Ccsave,N/A
108,108,Canceled,Checkmo,Card[MC]
109,109,Processing,Ccsave,Card[AE]
110,110,Pending,Checkmo,N/A
111,111,Completed,Ccsave,Card[MC]
112,112,Canceled,Checkmo,Card[AE]
113,113,Processing,Ccsave,N/A
114,114,Pending,Checkmo,Card[MC]
115,115,Completed,Ccsave,Card[AE]
116,116,Canceled,Checkmo,N/A
117,117,Processing,Ccsave,Card[MC]
118,118,Pending,Checkmo,Card[AE]
119,119,Completed,Ccsave,N/A
120,120,Canceled,Checkmo,Card[MC]
121,121,Processing,Ccsave,Card[MC]
122,122,Pending,Checkmo,Card[AE]
123,123,Completed,Ccsave,N/A
124,124,Canceled,Checkmo,Card[MC]
125,125,Processing,Ccsave,Card[AE]
126,126,Pending,Checkmo,N/A
127,127,Completed,Ccsave,Card[MC]
128,128,Canceled,Checkmo,Card[AE]
129,129,Processing,Ccsave,N/A
130,130,Pending,Checkmo,Card[MC]
131,131,Completed,Ccsave,Card[AE]
132,132,Canceled,Checkmo,N/A
133,133,Processing,Ccsave,Card[MC]
134,134,Pending,Checkmo,Card[AE]
135,135,Completed,Ccsave,N/A
136,136,Canceled,Checkmo,Card[MC]
137,137,Processing,Ccsave,Card[AE]
138,138,Pending,Checkmo,N/A
139,139,Completed,Ccsave,Card[MC]
140,140,Canceled,Checkmo,Card[AE]
141,141,Processing,Ccsave,N/A
142,142,Pending,Checkmo,Card[MC]
143,143,Completed,Ccsave,Card[AE]
144,144,Canceled,Checkmo,N/A
145,145,Processing,Ccsave,Card[MC]
146,146,Pending,Checkmo,Card[AE]
147,147,Completed,Ccsave,N/A
148,148,Canceled,Checkmo,Card[MC]
149,149,Processing,Ccsave,Card[AE]
150,150,Pending,Checkmo,N/A
151,151,Completed,Ccsave,Card[MC]
152,152,Canceled,Checkmo,Card[AE]
153,153,Processing,Ccsave,N/A
154,154,Pending,Checkmo,Card[MC]
155,155,Completed,Ccsave,Card[AE]
156,156,Canceled,Checkmo,N/A
157,157,Processing,Ccsave,Card[MC]
158,158,Pending,Checkmo,Card[AE]
159,159,Completed,Ccsave,N/A
160,160,Canceled,Checkmo,Card[MC]
161,161,Processing,Ccsave,Card[MC]
162,162,Pending,Checkmo,Card[AE]
163,163,Completed,Ccsave,N/A
164,164,Canceled,Checkmo,Card[MC]
165,165,Processing,Ccsave,Card[AE]
166,166,Pending,Checkmo,N/A
167,167,Completed,Ccsave,Card[MC]
168,168,Canceled,Checkmo,Card[AE]
169,169,Processing,Ccsave,N/A
170,170,Pending,Checkmo,Card[MC]
171,171,Completed,Ccsave,Card[AE]
172,172,Canceled,Checkmo,N/A
173,173,Processing,Ccsave,Card[MC]
174,174,Pending,Checkmo,Card[AE]
175,175,Completed,Ccsave,N/A
176,176,Canceled,Checkmo,Card[MC]
177,177,Processing,Ccsave,Card[AE]
178,178,Pending,Checkmo,N/A
179,179,Completed,Ccsave,Card[MC]
180,180,Canceled,Checkmo,Card[AE]
181,181,Processing,Ccsave,N/A
182,182,Pending,Checkmo,Card[MC]
183,183,Completed,Ccsave,Card[AE]
184,184,Canceled,Checkmo,N/A
185,185,Processing,Ccsave,Card[MC]
186,186,Pending,Checkmo,Card[AE]
187,187,Completed,Ccsave,N/A
188,188,Canceled,Checkmo,Card[MC]
189,189,Processing,Ccsave,Card[AE]
190,190,Pending,Checkmo,N/A
191,191,Completed,Ccsave,Card[MC]
192,192,Canceled,Checkmo,Card[AE]
193,193,Processing,Ccsave,N/A
194,194,Pending,Checkmo,Card[MC]
195,195,Completed,Ccsave,Card[AE]
196,196,Canceled,Checkmo,N/A
197,197,Processing,Ccsave,Card[MC]
198,198,Pending,Checkmo,Card[AE]
199,199,Completed,Ccsave,N/A
200,200,Canceled,Checkmo,Card[MC]
201,201,Processing,Ccsave,Card[MC]
202,202,Pending,Checkmo,Card[AE]
203,203,Completed,Ccsave,N/A
204,204,Canceled,Checkmo,Card[MC]
205,205,Processing,Ccsave,Card[AE]
206,206,Pending,Checkmo,N/A
207,207,Completed,Ccsave,Card[MC]
208,208,Canceled,Checkmo,Card[AE]
209,209,Processing,Ccsave,N/A
210,210,Pending,Checkmo,Card[MC]
211,211,Completed,Ccsave,Card[AE]
212,212,Canceled,Checkmo,N/A
213,213,Processing,Ccsave,Card[MC]
214,214,Pending,Checkmo,Card[AE]
